"","Index_No","Mid_34","Mid_20","Final_80","Marks_1","Marks_2","Grand_Final","Lec_1","Lec_2","Lec_3","Lec_4","Lec_5","Lec_6","Lec_7","Total_Attendance"
"1","A1",0,0,1,1,1.25,1,1,0,1,1,0,0,0,3
"2","A2",0,0,1,1,1.25,1,1,1,0,0,1,0,0,3
"3","A3",4,2.352941176,4,6.352941176,5,6,1,1,0,0,1,0,0,3
"4","A4",5,2.941176471,5,7.941176471,6.25,8,1,0,1,0,1,0,0,3
"5","A5",7,4.117647059,4,8.117647059,5,8,0,1,0,1,0,0,0,2
"6","A6",14,8.235294118,2,10.23529412,2.5,10,0,0,0,0,1,0,0,1
"7","A7",0,0,11,11,13.75,14,0,0,0,0,0,0,0,0
"8","A8",16,9.411764706,6,15.41176471,7.5,15,1,0,0,0,0,0,0,1
"9","A9",20,11.76470588,4,15.76470588,5,16,1,1,1,1,1,0,0,5
"10","A10",23,13.52941176,3,16.52941176,3.75,17,0,0,0,0,1,0,0,1
"11","A11",11,6.470588235,11,17.47058824,13.75,17,1,0,0,0,0,0,0,1
"12","A12",12,7.058823529,10,17.05882353,12.5,17,1,0,0,0,0,1,0,2
"13","A13",17,10,8,18,10,18,0,0,0,0,0,0,0,0
"14","A14",22,12.94117647,6,18.94117647,7.5,19,1,1,0,1,1,1,1,6
"15","A15",4,2.352941176,15,17.35294118,18.75,19,1,1,1,1,1,0,1,6
"16","A16",11,6.470588235,13,19.47058824,16.25,19,1,1,0,1,1,0,0,4
"17","A17",26,15.29411765,4,19.29411765,5,19,0,0,0,0,0,0,0,0
"18","A18",17,10,10,20,12.5,20,1,0,0,0,0,0,0,1
"19","A19",10,5.882352941,14,19.88235294,17.5,20,0,0,0,1,0,0,0,1
"20","A20",13,7.647058824,12,19.64705882,15,20,1,1,0,0,0,0,0,2
"21","A21",18,10.58823529,10,20.58823529,12.5,21,1,1,0,0,0,0,0,2
"22","A22",13,7.647058824,14,21.64705882,17.5,22,1,1,0,1,0,0,0,3
"23","A23",16,9.411764706,13,22.41176471,16.25,22,1,0,0,0,0,0,0,1
"24","A24",15,8.823529412,13,21.82352941,16.25,22,1,0,0,1,0,0,0,2
"25","A25",0,0,18,18,22.5,23,1,0,1,0,1,0,0,3
